------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.4.0.1 port 37899
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 101.0-102.0 sec   485 KBytes  3.97 Mbits/sec   0.535 ms    3/  341 (0.88%)
[  3] 102.0-103.0 sec   477 KBytes  3.90 Mbits/sec   0.656 ms    4/  336 (1.2%)
[  3] 103.0-104.0 sec   472 KBytes  3.87 Mbits/sec   0.601 ms   17/  346 (4.9%)
[  3] 104.0-105.0 sec   482 KBytes  3.95 Mbits/sec   0.621 ms    2/  338 (0.59%)
[  3] 105.0-106.0 sec   482 KBytes  3.95 Mbits/sec   0.772 ms    5/  341 (1.5%)
[  3] 106.0-107.0 sec   484 KBytes  3.96 Mbits/sec   0.589 ms    1/  338 (0.3%)
[  3] 107.0-108.0 sec   477 KBytes  3.90 Mbits/sec   1.299 ms    5/  337 (1.5%)
[  3] 108.0-109.0 sec   488 KBytes  4.00 Mbits/sec   0.608 ms    5/  345 (1.4%)
[  3] 109.0-110.0 sec   479 KBytes  3.93 Mbits/sec   0.607 ms    6/  340 (1.8%)
[  3] 110.0-111.0 sec   485 KBytes  3.97 Mbits/sec   0.697 ms    2/  340 (0.59%)
[  3] 111.0-112.0 sec   477 KBytes  3.90 Mbits/sec   0.622 ms    5/  337 (1.5%)
[  3] 112.0-113.0 sec   485 KBytes  3.97 Mbits/sec   0.579 ms    5/  343 (1.5%)
[  3] 113.0-114.0 sec   482 KBytes  3.95 Mbits/sec   0.611 ms    3/  339 (0.88%)
[  3] 114.0-115.0 sec   482 KBytes  3.95 Mbits/sec   0.605 ms    1/  337 (0.3%)
[  3] 115.0-116.0 sec   487 KBytes  3.99 Mbits/sec   0.591 ms    1/  340 (0.29%)
[  3] 116.0-117.0 sec   484 KBytes  3.96 Mbits/sec   0.608 ms    0/  337 (0%)
[  3]  0.0-117.2 sec  54.7 MBytes  3.91 Mbits/sec   1.065 ms  865/39850 (2.2%)
